State,2016,2017,2018,2019,2020,2021,2022,2023
AK,27,24,26,32,9,31,39,47
AL,24,20,28,36,5,36,47,62
AR,17,19,18,16,9,16,29,27
AZ,111,102,125,142,47,156,195,212
CA,2615,2846,2807,3095,1109,2371,2947,2746
CO,570,661,744,769,326,728,1096,1034
CT,953,983,937,869,260,539,727,806
DC,458,409,410,451,133,324,350,350
DE,28,27,29,31,6,18,33,38
FL,360,370,407,470,188,558,731,798
GA,490,494,501,524,204,506,651,708
HI,31,32,32,38,12,51,61,70
IA,23,28,29,35,6,38,32,31
ID,9,10,7,12,7,28,31,36
IL,937,984,1040,1066,330,719,936,1012
IN,68,89,89,105,45,105,149,142
KS,41,41,45,62,27,61,89,71
KY,28,27,31,52,13,37,52,59
LA,33,37,35,37,8,36,39,46
MA,1388,1532,1530,1460,253,433,466,430
MD,1191,1203,1169,1147,466,965,1176,1062
ME,34,24,33,36,12,47,54,60
MI,186,196,232,239,82,245,374,365
MN,252,266,330,365,117,260,307,326
MO,73,89,101,118,54,107,144,128
MS,5,10,4,6,3,4,12,13
MT,6,12,16,22,11,20,32,31
NC,328,397,384,402,159,393,577,563
ND,12,14,7,4,3,5,9,11
NE,13,20,15,17,15,35,26,37
NH,51,70,74,76,22,78,113,117
NJ,1623,1690,1721,1697,461,1165,1542,1546
NM,25,24,28,30,13,23,40,36
NV,69,79,79,76,30,80,132,120
NY,2506,2592,2518,2493,761,1688,2234,2289
OH,238,245,267,275,99,254,350,351
OK,15,10,17,12,5,21,33,38
OR,149,183,156,199,67,173,250,256
PA,769,767,787,812,325,676,811,839
RI,36,38,52,68,32,52,53,48
SC,74,94,104,124,40,126,172,192
SD,2,5,4,3,0,4,3,9
TN,78,88,120,142,65,202,282,281
TX,601,678,744,804,300,745,1118,1042
UT,55,71,69,85,37,113,177,175
VA,1635,1636,1611,1657,458,1137,1325,1367
VT,35,38,43,44,13,24,42,65
WA,849,960,991,1151,405,906,1141,1136
WI,101,99,115,126,48,86,197,173
WV,7,11,10,9,4,14,11,13
WY,4,9,7,10,3,15,12,5
