gid,arealand,intptlat,name,objectid,areawater,intptlon,centlon,stusab,state,centlat,basename,mtfcc,geoid,All State,All Stat_1,All Stat_2,All Stat_3,All Stat_4,All Stat_5,All Stat_6,All Stat_7
"16","278176477",18.2176480000,Puerto Rico,"50","628200285",-66.4107992000,-66.4147614000,PR,"72",18.2164715000,Puerto Rico,G4000,"72",,,,,,,,
"23","472276664",14.9367835000,Commonwealth of the Northern Mariana Islands,"36","349301029",145.6010210000,145.5968710000,MP,"69",16.7974379000,Commonwealth of the Northern Mariana Islands,G4000,"69",,,,,,,,
"31","1627312771",34.8955256000,Arkansas,"44","-1334552525",-92.4446262000,-92.4426990000,AR,"05",34.8940208000,Arkansas,G4000,"05","17","19","18","16","9","16","29","27"
"35","2136109036",38.6472854000,West Virginia,"1","489848791",-80.6183274000,-80.6234555000,WV,"54",38.6411860000,West Virginia,G4000,"54","7","11","10","9","4","14","11","13"
"38","73043361",46.3158148000,Minnesota,"4","1750136443",-94.1996628000,-94.1982235000,MN,"27",46.3164845000,Minnesota,G4000,"27","252","266","330","365","117","260","307","326"
"42","1712577727",43.6726907000,New Hampshire,"8","1028674404",-71.5843145000,-71.5738495000,NH,"33",43.6740331000,New Hampshire,G4000,"33","51","70","74","76","22","78","113","117"
"40","-1616974352",41.5974187000,Rhode Island,"6","1323457457",-71.5272723000,-71.5247213000,RI,"44",41.5940253000,Rhode Island,G4000,"44","36","38","52","68","32","52","53","48"
"54","312831514",47.4073238000,Washington,"20","-324557627",-120.5757999000,-120.5955739000,WA,"53",47.4148989000,Washington,G4000,"53","849","960","991","1151","405","906","1141","1136"
"55","235758874",30.8634368000,Louisiana,"21","-2023496089",-91.7987173000,-91.7982269000,LA,"22",30.9025860000,Louisiana,G4000,"22","33","37","35","37","8","36","39","46"
"18","-1270384539",42.1565196000,Massachusetts,"52","-1459335740",-71.4895915000,-71.4975238000,MA,"25",42.1618490000,Massachusetts,G4000,"25","1388","1532","1530","1460","253","433","466","430"
"29","197759069",-14.2668475000,American Samoa,"42","1307243753",-170.6671854000,-170.0822667000,AS,"60",-13.9638307000,American Samoa,G4000,"60",,,,,,,,
"12","-812563424",37.5336844000,Kentucky,"34","-1906562745",-85.2929801000,-85.3018362000,KY,"21",37.5351927000,Kentucky,G4000,"21","28","27","31","52","13","37","52","59"
"17","-1220695848",44.4467957000,South Dakota,"51","-913576672",-100.2381762000,-100.2270346000,SD,"46",44.4445721000,South Dakota,G4000,"46","2","5","4","3","0","4","3","9"
"1","-1970221771",32.7396323000,Alabama,"23","298643766",-86.8434593000,-86.8467951000,AL,"01",32.7436859000,Alabama,G4000,"01","24","20","28","36","5","36","47","62"
"3","-1540815024",40.4149297000,Ohio,"25","1674416037",-82.7119975000,-82.7168502000,OH,"39",40.4097376000,Ohio,G4000,"39","238","245","267","275","99","254","350","351"
"19","-821915984",37.5222512000,Virginia,"53","-61307834",-78.6681938000,-78.6759106000,VA,"51",37.5182650000,Virginia,G4000,"51","1635","1636","1611","1657","458","1137","1325","1367"
"20","158364994",38.9041031000,District of Columbia,"54","18633403",-77.0172290000,-77.0162745000,DC,"11",38.9047579000,District of Columbia,G4000,"11","458","409","410","451","133","324","350","350"
"22","2140782230",34.2039355000,Arizona,"56","1027348231",-111.6063565000,-111.6605480000,AZ,"04",34.2750530000,Arizona,G4000,"04","111","102","125","142","47","156","195","212"
"27","861485430",39.3310928000,Nevada,"40","2047350889",-116.6151469000,-116.6313445000,NV,"32",39.3292329000,Nevada,G4000,"32","69","79","79","76","30","80","132","120"
"4","-1971382068",31.4347032000,Texas,"26","1846131515",-99.2818238000,-99.2890858000,TX,"48",31.4277663000,Texas,G4000,"48","601","678","744","804","300","745","1118","1042"
"24","543558310",13.4382886000,Guam,"37","934334983",144.7729493000,144.7693797000,GU,"66",13.4427156000,Guam,G4000,"66",,,,,,,,
"30","426389945",44.8441757000,Michigan,"43","952330638",-85.6604930000,-85.6650494000,MI,"26",44.8382251000,Michigan,G4000,"26","186","196","232","239","82","245","374","365"
"5","2141806805",38.9938482000,Colorado,"27","1174677436",-105.5083165000,-105.5478283000,CO,"08",38.9976175000,Colorado,G4000,"08","570","661","744","769","326","728","1096","1034"
"6","552436514",33.8741769000,South Carolina,"28","775849516",-80.8542699000,-80.8583239000,SC,"45",33.8759382000,South Carolina,G4000,"45","74","94","104","124","40","126","172","192"
"7","1570063024",35.5900512000,Oklahoma,"29","-921131230",-97.4868149000,-97.4947073000,OK,"40",35.5885671000,Oklahoma,G4000,"40","15","10","17","12","5","21","33","38"
"15","-1698712947",39.9030256000,Indiana,"49","1536739330",-86.2839503000,-86.2872672000,IN,"18",39.9060002000,Indiana,G4000,"18","68","89","89","105","45","105","149","142"
"28","595517795",63.3461909000,Alaska,"41","459359166",-152.8370690000,-152.8699814000,AK,"02",63.4205306000,Alaska,G4000,"02","27","24","26","32","9","31","39","47"
