name,stusab,geoid,intptlat,intptlon,centlon,centlat,2016,2017,2018,2019,2020,2021,2022,2023
Puerto Rico,PR,72,18.2176480000,-66.4107992000,-66.4147614000,18.2164715000,,,,,,,,
Commonwealth of the Northern Mariana Islands,MP,69,14.9367835000,145.6010210000,145.5968710000,16.7974379000,,,,,,,,
Arkansas,AR,5,34.8955256000,-92.4446262000,-92.4426990000,34.8940208000,17,19,18,16,9,16,29,27
West Virginia,WV,54,38.6472854000,-80.6183274000,-80.6234555000,38.6411860000,7,11,10,9,4,14,11,13
Minnesota,MN,27,46.3158148000,-94.1996628000,-94.1982235000,46.3164845000,252,266,330,365,117,260,307,326
New Hampshire,NH,33,43.6726907000,-71.5843145000,-71.5738495000,43.6740331000,51,70,74,76,22,78,113,117
Rhode Island,RI,44,41.5974187000,-71.5272723000,-71.5247213000,41.5940253000,36,38,52,68,32,52,53,48
Washington,WA,53,47.4073238000,-120.5757999000,-120.5955739000,47.4148989000,849,960,991,1151,405,906,1141,1136
Louisiana,LA,22,30.8634368000,-91.7987173000,-91.7982269000,30.9025860000,33,37,35,37,8,36,39,46
Massachusetts,MA,25,42.1565196000,-71.4895915000,-71.4975238000,42.1618490000,1388,1532,1530,1460,253,433,466,430
American Samoa,AS,60,-14.2668475000,-170.6671854000,-170.0822667000,-13.9638307000,,,,,,,,
Kentucky,KY,21,37.5336844000,-85.2929801000,-85.3018362000,37.5351927000,28,27,31,52,13,37,52,59
South Dakota,SD,46,44.4467957000,-100.2381762000,-100.2270346000,44.4445721000,2,5,4,3,0,4,3,9
Alabama,AL,1,32.7396323000,-86.8434593000,-86.8467951000,32.7436859000,24,20,28,36,5,36,47,62
Ohio,OH,39,40.4149297000,-82.7119975000,-82.7168502000,40.4097376000,238,245,267,275,99,254,350,351
Virginia,VA,51,37.5222512000,-78.6681938000,-78.6759106000,37.5182650000,1635,1636,1611,1657,458,1137,1325,1367
District of Columbia,DC,11,38.9041031000,-77.0172290000,-77.0162745000,38.9047579000,458,409,410,451,133,324,350,350
Arizona,AZ,4,34.2039355000,-111.6063565000,-111.6605480000,34.2750530000,111,102,125,142,47,156,195,212
Nevada,NV,32,39.3310928000,-116.6151469000,-116.6313445000,39.3292329000,69,79,79,76,30,80,132,120
Texas,TX,48,31.4347032000,-99.2818238000,-99.2890858000,31.4277663000,601,678,744,804,300,745,1118,1042
Guam,GU,66,13.4382886000,144.7729493000,144.7693797000,13.4427156000,,,,,,,,
Michigan,MI,26,44.8441757000,-85.6604930000,-85.6650494000,44.8382251000,186,196,232,239,82,245,374,365
Colorado,CO,8,38.9938482000,-105.5083165000,-105.5478283000,38.9976175000,570,661,744,769,326,728,1096,1034
South Carolina,SC,45,33.8741769000,-80.8542699000,-80.8583239000,33.8759382000,74,94,104,124,40,126,172,192
Oklahoma,OK,40,35.5900512000,-97.4868149000,-97.4947073000,35.5885671000,15,10,17,12,5,21,33,38
Indiana,IN,18,39.9030256000,-86.2839503000,-86.2872672000,39.9060002000,68,89,89,105,45,105,149,142
Alaska,AK,2,63.3461909000,-152.8370690000,-152.8699814000,63.4205306000,27,24,26,32,9,31,39,47
Missouri,MO,29,38.3507500000,-92.4567826000,-92.4580695000,38.3569742000,73,89,101,118,54,107,144,128
Illinois,IL,17,40.1028754000,-89.1526108000,-89.1500872000,40.1006030000,937,984,1040,1066,330,719,936,1012
Montana,MT,30,47.0511771000,-109.6348174000,-109.6329861000,47.0526268000,6,12,16,22,11,20,32,31
Maryland,MD,24,38.9466584000,-76.6744939000,-76.6789663000,38.9463607000,1191,1203,1169,1147,466,965,1176,1062
New Mexico,NM,35,34.4346843000,-106.1316181000,-106.1126594000,34.4075783000,25,24,28,30,13,23,40,36
Tennessee,TN,47,35.8585557000,-86.3493580000,-86.3503468000,35.8581413000,78,88,120,142,65,202,282,281
Wyoming,WY,56,42.9918024000,-107.5419255000,-107.5514552000,42.9960991000,4,9,7,10,3,15,12,5
North Dakota,ND,38,47.4421698000,-100.4608163000,-100.4661129000,47.4504454000,12,14,7,4,3,5,9,11
North Carolina,NC,37,35.5397100000,-79.1308636000,-79.1299556000,35.5401695000,328,397,384,402,159,393,577,563
Vermont,VT,50,44.0604795000,-72.6733274000,-72.6660410000,44.0693874000,35,38,43,44,13,24,42,65
New Jersey,NJ,34,40.1072744000,-74.6652012000,-74.6580421000,40.1050485000,1623,1690,1721,1697,461,1165,1542,1546
Idaho,ID,16,44.3484222000,-114.5588538000,-114.6136821000,44.3524058000,9,10,7,12,7,28,31,36
Nebraska,NE,31,41.5433014000,-99.8118616000,-99.7949708000,41.5381096000,13,20,15,17,15,35,26,37
Utah,UT,49,39.3349925000,-111.6563326000,-111.6703458000,39.3063102000,55,71,69,85,37,113,177,175
Mississippi,MS,28,32.6864714000,-89.6561377000,-89.6553191000,32.6974745000,5,10,4,6,3,4,12,13
Connecticut,CT,9,41.5797777000,-72.7466665000,-72.7393081000,41.5751437000,953,983,937,869,260,539,727,806
Pennsylvania,PA,42,40.9024957000,-77.8334514000,-77.8369374000,40.9011252000,769,767,787,812,325,676,811,839
Hawaii,HI,15,19.8281671000,-155.4950421000,-157.9936887000,21.0508739000,31,32,32,38,12,51,61,70
Kansas,KS,20,38.4985464000,-98.3834298000,-98.3786217000,38.4938959000,41,41,45,62,27,61,89,71
